SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros
0,20,1,0
0,20,2,0
1,20,1,0
1,20,2,0
2,20,1,0
2,20,2,0
3,20,1,0
3,20,2,0
4,20,1,0
4,20,2,0
5,20,1,0
5,20,2,0
6,20,1,0
6,20,2,0
7,20,1,0
7,20,2,0
8,20,1,0
8,20,2,0
9,20,1,0
9,20,2,0
10,20,1,0
10,20,2,0
11,20,1,0
11,20,2,0
12,20,1,0
12,20,2,0
13,20,1,0
13,20,2,0
14,20,1,0
14,20,2,0
15,20,1,0
15,20,2,0
16,20,1,0
16,20,2,0
17,20,1,0
17,20,2,0
18,20,1,0
18,20,2,0
19,20,1,0
19,20,2,0
20,21,2,0
21,21,2,0
22,21,2,0
23,21,2,0
24,21,2,0
25,21,2,0
26,21,2,0
27,21,2,0
28,21,2,0
29,21,2,0
30,21,2,0
31,21,2,0
32,21,2,0
33,21,2,0
34,21,2,0
35,21,2,0
36,21,2,0
37,21,2,0
38,21,2,0
39,21,2,0
40,5,1,0
41,5,1,0
42,5,1,0
43,5,1,0
44,5,1,0
45,5,1,0
46,5,1,0
47,5,1,0
48,5,1,0
49,5,1,0
50,5,1,0
51,5,1,0
52,5,1,0
53,5,1,0
54,5,1,0
55,5,1,0
56,5,1,0
57,5,1,0
58,5,1,0
59,5,1,0
60,21,3,0
61,21,3,0
62,21,3,0
63,21,3,0
64,21,3,0
65,21,3,0
66,21,3,0
67,21,3,0
68,21,3,0
69,21,3,0
70,21,3,0
71,21,3,0
72,21,3,0
73,21,3,0
74,21,3,0
75,21,3,0
76,21,3,0
77,21,3,0
78,21,3,0
79,21,3,0
80,21,3,0
81,21,3,0
82,21,3,0
83,21,3,0
84,21,3,0
85,21,3,0
86,21,3,0
87,21,3,0
88,21,3,0
89,21,3,0
90,21,3,0
91,21,3,0
92,21,3,0
93,21,3,0
94,21,3,0
95,21,3,0
96,21,3,0
97,21,3,0
98,21,3,0
99,21,3,0
100,5,1,0
101,5,1,0
102,5,1,0
103,5,1,0
104,5,1,0
105,5,1,0
106,5,1,0
107,5,1,0
108,5,1,0
109,5,1,0
110,5,1,0
111,5,1,0
112,5,1,0
113,5,1,0
114,5,1,0
115,5,1,0
116,5,1,0
117,5,1,0
118,5,1,0
119,5,1,0
120,20,1,0
120,20,1,0
121,20,1,0
121,20,1,0
122,20,1,0
122,20,1,0
123,20,1,0
123,20,1,0
124,20,1,0
124,20,1,0
125,20,1,0
125,20,1,0
126,20,1,0
126,20,1,0
127,20,1,0
127,20,1,0
128,20,1,0
128,20,1,0
129,20,1,0
129,20,1,0
130,20,1,0
130,20,1,0
131,20,1,0
131,20,1,0
132,20,1,0
132,20,1,0
133,20,1,0
133,20,1,0
134,20,1,0
134,20,1,0
135,20,1,0
135,20,1,0
136,20,1,0
136,20,1,0
137,20,1,0
137,20,1,0
138,20,1,0
138,20,1,0
139,20,1,0
139,20,1,0
140,20,1,0
140,20,2,0
141,20,1,0
141,20,2,0
142,20,1,0
142,20,2,0
