# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates,,,Node States,Cluster N,HH Amount,,,# SurveyHHCode,HHCode,TypeOfSegmentation,FullZeros,NodeStates
79,21,2,12,S4 - Commerce,,,Education (1),4,15,,,72,21,Austere,1,S4 - Commerce
118,5,0,12,,,,Commerce (6),12,26,,,76,21,Austere,1,
123,20,0,12,,,,,11,26,,,79,21,Austere,1,
123,20,0,12,,,,,8,26,,,99,21,Austere,1,
124,20,0,12,,,,,5,26,,,109,5,Progressist,1,
124,20,0,12,,,,,1,26,,,407,21,Austere,1,
128,20,0,12,,,,,2,26,,,423,21,Progressist,1,
128,20,0,12,,,,Small Industry (3),10,26,,,448,21,Progressist,1,
133,20,0,12,,,,,7,26,,,466,21,Progressist,1,
133,20,0,12,,,,,6,26,,,496,21,Austere,1,
141,20,0,12,,,,Services (2),9,26,,,6,20,Modern,1,
141,20,1,12,,,,,3,26,,,6,20,Progressist,1,
180,16,1,12,,,,Total,12,301,,,132,20,Progressist,1,
180,16,3,12,,,,,,,,,132,20,Progressist,1,
180,16,1,12,,,,,,,,,133,20,Progressist,1,
196,16,1,12,,,,,,,,,133,20,Progressist,1,
196,16,3,12,,,,,,,,,156,20,Progressist,1,
196,16,1,12,,,,,,,,,156,20,Modern,1,
197,16,1,12,,,,,,,,,157,20,Progressist,1,
197,16,3,12,,,,,,,,,157,20,Modern,1,
197,16,1,12,,,,,,,,,301,20,Progressist,1,
200,23,2,12,,,,,,,,,301,20,Modern,1,
200,23,1,12,,,,,,,,,352,20,Progressist,1,
200,23,2,12,,,,,,,,,352,20,Modern,1,
206,23,2,12,,,,,,,,,358,20,Progressist,1,
206,23,1,12,,,,,,,,,358,20,Modern,1,
206,23,2,12,,,,,,,,,374,52,Formalist,1,
231,5,0,12,,,,,,,,,374,52,Modern,1,
266,20,0,12,,,,,,,,,374,52,Conservative,1,
266,20,1,12,,,,,,,,,323,54,Progressist,1,
310,20,0,12,,,,,,,,,323,54,Modern,1,
310,20,1,12,,,,,,,,,323,54,Formalist,1,
320,54,0,12,,,,,,,,,189,16,Modern,1,
320,54,1,12,,,,,,,,,189,16,Formalist,1,
320,54,3,12,,,,,,,,,189,16,Modern,1,
321,54,0,12,,,,,,,,,326,54,Progressist,1,
321,54,1,12,,,,,,,,,326,54,Modern,1,
321,54,3,12,,,,,,,,,326,54,Formalist,1,
348,20,0,12,,,,,,,,,206,23,Austere,1,
348,20,1,12,,,,,,,,,206,23,Modern,1,
368,52,3,12,,,,,,,,,206,23,Austere,1,
368,52,1,12,,,,,,,,,327,54,Progressist,1,
368,52,4,12,,,,,,,,,327,54,Modern,1,
402,21,2,12,,,,,,,,,327,54,Formalist,1,
457,21,0,12,,,,,,,,,215,23,Austere,1,
469,21,0,12,,,,,,,,,215,23,Modern,1,
484,21,2,12,,,,,,,,,215,23,Austere,1,
493,21,2,12,,,,,,,,,331,54,Progressist,1,
